id,name,description,price,image,category,requiresPrescription,stock,salt,manufacturer,mrp,discount,isOTC
"prod_0","Cetzine 250mg Batch 0","Cetzine 250mg Batch 0 contains Diclofenac. Premium quality medicine.",564,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Diclofenac","Swastik Pharma Labs",676,16,true
"prod_1","Voveran 400mg Batch 1","Voveran 400mg Batch 1 contains Sitagliptin. Premium quality medicine.",370,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Sitagliptin","Swastik Pharma Labs",444,5,true
"prod_2","Crocin 500mg Batch 2","Crocin 500mg Batch 2 contains Ibuprofen. Premium quality medicine.",205,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Antibiotics",true,100,"Ibuprofen","Swastik Pharma Labs",246,16,false
"prod_3","Dynapar 400mg Batch 3","Dynapar 400mg Batch 3 contains Sitagliptin. Premium quality medicine.",731,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Sitagliptin","Swastik Pharma Labs",877,14,true
"prod_4","Pantocid 200mg Batch 4","Pantocid 200mg Batch 4 contains Ibuprofen. Premium quality medicine.",363,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Diabetes",true,100,"Ibuprofen","Swastik Pharma Labs",435,14,false
"prod_5","Dolo 100mg Batch 5","Dolo 100mg Batch 5 contains Amoxicillin. Premium quality medicine.",25,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Amoxicillin","Swastik Pharma Labs",30,2,true
"prod_6","Brufen 100mg Batch 6","Brufen 100mg Batch 6 contains Diclofenac. Premium quality medicine.",485,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Diclofenac","Swastik Pharma Labs",582,6,true
"prod_7","Crocin 10mg Batch 7","Crocin 10mg Batch 7 contains Pantoprazole. Premium quality medicine.",216,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Pantoprazole","Swastik Pharma Labs",259,21,true
"prod_8","Pantocid 250mg Batch 8","Pantocid 250mg Batch 8 contains Glimepiride. Premium quality medicine.",494,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","General",false,100,"Glimepiride","Swastik Pharma Labs",592,21,true
"prod_9","Okacet 20mg Batch 9","Okacet 20mg Batch 9 contains Glimepiride. Premium quality medicine.",687,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Glimepiride","Swastik Pharma Labs",824,15,true
"prod_10","Crocin 500mg Batch 10","Crocin 500mg Batch 10 contains Vildagliptin. Premium quality medicine.",491,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Pain Relief",false,100,"Vildagliptin","Swastik Pharma Labs",589,20,true
"prod_11","Crocin 20mg Batch 11","Crocin 20mg Batch 11 contains Glimepiride. Premium quality medicine.",586,"https://images.unsplash.com/photo-1584308666744-24d59b298f0d?auto=format&fit=crop&w=200&q=80","Supplements",false,100,"Glimepiride","Swastik Pharma Labs",703,8,true
