id,name,type,specialization,doctorName,phone,address,locality,fee,rating,reviews,verified
"gh-01","Life Care Hospital","clinic","Multi-Speciality","Dr. Smita Jaiswal","05512201234","Civil Court Road, Betiahata, Gorakhpur","Betiahata","800","4.8","5700","true"
"gh-02","Nysa Clinic","clinic","Orthopaedics & Gynaecology","Dr. Agraj Mishra","05512205678","Opposite Gorakhnath Mandir, Gorakhpur","Gorakhnath","500","4.5","120","true"
"gh-03","Dr Tariq Khan Clinic","doctor","Sexology & Men's Health","Dr. Tariq Khan","9161364908","B.R.D Medical College Road, Gorakhpur","Medical College","500","4.7","850","true"
"gh-04","Annapurna Hospital","clinic","Gastro Liver & Multispeciality","Dr. K. R. Vasudevan","05512334455","Civil Court, Gorakhpur","Golghar","800","4.6","320","true"
"gh-05","Jiva Ayurveda Clinic","clinic","Ayurveda","Dr. Madhusudan","05512501010","Basharatpur, Gorakhpur","Basharatpur","400","4.4","150","true"
"gh-06","Gorakhpur Physiotherapy Centre","doctor","Physiotherapy","Dr. Vikash Gupta","9839012345","Kunraghat, Gorakhpur","Kunraghat","300","4.9","95","true"
"gh-07","Sarkari Medicare Centre","clinic","General Medicine","Dr. Avijit Sarkari","05512202233","Daudpur, Gorakhpur","Daudpur","600","4.7","210","true"
"gh-08","Dr. Abhinav Jaiswal Uro Clinic","doctor","Urology","Dr. Abhinav Jaiswal","9415212345","Betiahata, Gorakhpur","Betiahata","1000","4.8","400","true"
"gh-09","Dr P N Jaiswal ENT Clinic","doctor","ENT Specialist","Dr. P. N. Jaiswal","05512203344","Gorakhnath Mandir Road, Gorakhpur","Gorakhnath","500","4.5","180","true"
"gh-10","Apollo Clinic Gorakhpur","clinic","Multi-Speciality","Dr. R. K. Singh","05512284455","Park Road, Gorakhpur","Civil Lines","700","4.3","1100","true"
"gh-11","Dr. Akriti Gupta Infertility Center","doctor","Infertility Specialist","Dr. Akriti Gupta","9918012345","Asuran, Gorakhpur","Asuran","1200","4.9","280","true"
"gh-12","Platinum Hospital","clinic","Multi-Speciality","Dr. S. K. Maurya","05512241122","Sahajanwa, Gorakhpur","Sahajanwa","400","4.2","500","true"
"gh-13","Garg Neuro Hospital","clinic","Neurosurgery","Dr. Pankaj Garg","05512270088","Near Gorakhpur University, Gorakhpur","University Area","1500","4.7","640","true"
"gh-14","Pragati Hospital","clinic","Surgical Care","Dr. V. K. Singh","05512290077","Kunraghat Crossroad, Gorakhpur","Kunraghat","800","4.4","190","true"
"gh-15","Meditree Hospital","clinic","General Medicine","Dr. Atil Kumar Lal","05512503344","Awas Vikas Colony, Basharatpur, Gorakhpur","Basharatpur","600","4.6","310","true"
"gh-r01","Sardar Medicos","retailer","Pharmacy & Surgical","NULL","05512330044","Golghar, Gorakhpur","Golghar","NULL","4.7","1200","true"
"gh-r02","Shiva Medical Store","retailer","Allopathy & Generic","NULL","9415612345","Asuran Chowk, Gorakhpur","Asuran","NULL","4.5","450","true"
"gh-r03","Durga Medical Center","retailer","Retail Pharmacy","NULL","05512201111","Betiahata, Gorakhpur","Betiahata","NULL","4.8","890","true"
"gh-r04","Gorakhpur Medical Hall","retailer","Oldest Pharmacy","NULL","05512339988","Buxipur, Gorakhpur","Buxipur","NULL","4.6","1500","true"
"gh-r05","Krishna Medicals","retailer","Multi-Brand Pharmacy","NULL","9839077665","Shahpur, Gorakhpur","Shahpur","NULL","4.4","320","true"
"gh-r06","Swastik Medicare (Main)","retailer","Online & Offline Retail","NULL","9161364908","Gorakhnath, Gorakhpur","Gorakhnath","NULL","4.9","2100","true"
"gh-r07","City Medical Store","retailer","Emergency Medicines","NULL","05512204455","Town Hall, Gorakhpur","Town Hall","NULL","4.3","600","true"
"gh-r08","New Life Medicos","retailer","Pharmacy","NULL","9935011223","Kunraghat, Gorakhpur","Kunraghat","NULL","4.5","240","true"
"gh-r09","Aggarwal Medicals","retailer","Baby Care & Medicines","NULL","05512338877","Geeta Press Road, Gorakhpur","Geeta Press","NULL","4.2","180","true"
"gh-r10","Health First Pharmacy","retailer","Wellness Store","NULL","9792011223","Civil Lines, Gorakhpur","Civil Lines","NULL","4.7","750","true"
